text,label
"{'data': 'TEGO FLOW 300 | 0.4 <header> <PART A:> | <wt> </header>', 'label': []}",irrelevant
"{'data': 'moisture，≤ | % | 0.10 | 110 ℃, - 0.09 Mpa 1.5 h <header> <ITEM> | <UNIT> | <DS 201 > | <ASTM measurement> </header>', 'label': []}",irrelevant
"{'data': 'Melting Point | ℃ | 156 ~ 165 | D 3418 <header> <Property> | <Unit> | <Typical Values> | <ASTM Method> </header>', 'label': [[16, 17, 'unit'], [20, 23, 'min'], [26, 29, 'max'], [32, 38, 'method']]}",Melting point
"{'data': '密度 Density | ASTM D 792 | g/cm 3 | 1.75 ~ 1.77 ( 1.76 ) | 1.75 ~ 1.77 ( 1.76 ) <header> <性质 PROPERITES> | <测试方法 TEST METHOD> | <单位 /UNIT> | <T - 1 > <粉末 /POWDER> | <T - 1 W> <粉末 /POWDER> </header>', 'label': []}",irrelevant
"{'data': 'OH Value（ OH Value（mg KOH/g） | 56 ± 5', 'label': [[19, 27, 'unit'], [31, 33, 'mean'], [36, 37, 'std']]}",Hydroxyl value
"{'data': 'Thermal Decomposition | TGA | 720 - 740 ºF ( 382 - 393 ºC ) 1 % Wt. Loss in Air <header> < 21 Typical Properties DG ( COATING ) > <Property> | < 21 Typical Properties DG ( COATING ) > <RMFI ASTM Method> | < 21 Typical Properties DG ( COATING ) > <Typical Values> </header>', 'label': []}",irrelevant
"{'data': 'Melting Temperature | 156 to 160 °C | ASTM D 3418 <header> <Physical> | <Typical Value Unit> | <Test method> </header>', 'label': [[22, 25, 'min'], [29, 32, 'max'], [33, 35, 'unit'], [38, 49, 'method']]}",Melting point
"{'data': 'Purity, ≥ | % | 99.5 | PVDF <header> <ITEM> | <UNIT> | <DS 201 > | <ASTM measurement> </header>', 'label': []}",irrelevant
"{'data': 'Melting Index | g/ 10 min | 0.5 - 2.0 | D 1238 ， 230 ℃， 10 Kg <header> <ITEM> | <UNIT> | <DS 201 > | <ASTM measurement> </header>', 'label': [[16, 25, 'unit'], [28, 31, 'min'], [34, 37, 'max'], [40, 46, 'method'], [49, 61, 'measuring_condition']]}",Melting point
"{'data': 'OH Value（mg KOH/g） | 58 ± 3', 'label': [[9, 17, 'unit'], [21, 23, 'mean'], [26, 27, 'std']]}",Hydroxyl value
"{'data': 'Typical Physical Properties', 'label': []}",irrelevant
"{'data': 'Solvent: ( Minerals Spirits ) | 85 %', 'label': []}",irrelevant
"{'data': 'Décomposition thermique / Thermale decomposition ( 1 % Wt loos in air ) | TGA | °C | 382 – 393 <header> <PROPRIETES GENERALES / GENERAL PROPERTIES> | <PROPRIETES GENERALES / GENERAL PROPERTIES> | <PROPRIETES GENERALES / GENERAL PROPERTIES> | <Valeurs typiques / Typical Values> </header>', 'label': []}",irrelevant
"{'data': 'Melting Point | ℃ | 156 ~ 165 | D 3418 <header> <Property> | <Unit> | <Typical Values> | <ASTM Method> </header>', 'label': [[16, 17, 'unit'], [20, 23, 'min'], [26, 29, 'max'], [32, 38, 'method']]}",Melting point
"{'data': 'Scattered fineness, ≤ | μm | 25 | Hegman fineness gauge <header> <ITEM> | <UNIT> | <DS 201 > | <ASTM measurement> </header>', 'label': []}",irrelevant
"{'data': 'Hegman Grind | / | 5.5 min. | D 1210,B <header> <Property> | <Unit> | <Typical Values> | <ASTM Method> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity ( Brookfield 30 s - 1 ) | 100', 'label': [[12, 31, 'measuring_condition'], [36, 39, 'mean']]}",Viscosity
"{'data': '细度计 /Hegman | | | ≥ 5.5 | ≥ 5.5 <header> <性质 PROPERITES> | <测试方法 TEST METHOD> | <单位 /UNIT> | <T - 1 > <粉末 /POWDER> | <T - 1 W> <粉末 /POWDER> </header>', 'label': []}",irrelevant
