text,label
"{'data': 'Functionality ( theoretical ) | 7 ~ 8 <header> <Appearance ( 25 °C ) > | <Milky - white> </header>', 'label': [[16, 27, 'measuring_condition'], [32, 33, 'min'], [36, 37, 'max']]}",Functionality
"{'data': 'Mean particle size | approx. 50 | nm | photon correlation spectroscopy <header> <Other data* Property> | <Value Unit of measurement> | <Value Unit of measurement> | <Method> </header>', 'label': [[39, 70, 'measuring_condition'], [34, 36, 'unit'], [29, 31, 'mean'], [0, 4, 'measuring_condition']]}",Particle size
"{'data': 'Surfynol® 465 | 2.16 | 0.25 | Surfactant <header> <Material> | <Pounds> | <Gallons> | <Use> </header>', 'label': []}",irrelevant
"{'data': 'density | [ g/cm³ ] | 1,08', 'label': []}",irrelevant
"{'data': 'Health and safety : | A separate Health and Safety data sheet has been issued for this product. Please read this and ensure that the recommended precautions are taken before the product is put into storage or used. | A separate Health and Safety data sheet has been issued for this product. Please read this and ensure that the recommended precautions are taken before the product is put into storage or used. | A separate Health and Safety data sheet has been issued for this product. Please read this and ensure that the recommended precautions are taken before the product is put into storage or used.', 'label': []}",irrelevant
"{'data': 'Acid number | 13', 'label': []}",irrelevant
"{'data': 'Property | Range | Unit | TM <header> <Property> | <Range> | <Unit> | <TM> </header>', 'label': []}",header
"{'data': 'Sward Hardness | 16 | ""L"" Value | 0.01 <header> <Dry Time, hr:min> | <> | <Mandrel Bend, 1 / 8 ""> | <Pass> </header>', 'label': []}",irrelevant
"{'data': 'Non - volatile content ( 1 g / 1 h / 125 ℃ ) | 55 + 2 | % 2008 | DIN EN ISO 3251 <header> <Specification Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': [[25, 42, 'measuring_condition'], [47, 49, 'mean'], [52, 53, 'std'], [56, 57, 'unit'], [65, 80, 'method']]}",Solid content
"{'data': 'Appearance | White emulsion | Visual inspection <header> <Parameter index> | <AQUAPUD - 8112 > | <Detection method> </header>', 'label': [[13, 27, 'qualitative_value']]}",Color
"{'data': 'Acid number, supply form | approx. 10 | mg KOH/g | DIN EN ISO 2114 <header> <Other data* Property> | <Value> | <Unit of measurement Method> | <Unit of measurement Method> </header>', 'label': []}",irrelevant
"{'data': 'Weight per litre : | 1.044 kg', 'label': []}",irrelevant
"{'data': 'Viscosity : | 0.4 - 1.0 poise, ICI Rotothinner at 25 °C | 0.4 - 1.0 poise, ICI Rotothinner at 25 °C | 0.4 - 1.0 poise, ICI Rotothinner at 25 °C <header> <Acrylic Copolymer Emulsion> | < 980 - 410 Date :> | < 980 - 410 Date :> | < 980 - 410 Date :> </header>', 'label': []}",irrelevant
"{'data': 'G/L | 324 <header> <Appearance> | <Translucent> </header>', 'label': []}",irrelevant
"{'data': 'pH | 7.3 – 8.5 | | 2200 <header> <Property> | <Range> | <Unit> | <TM> </header>', 'label': [[19, 23, 'method'], [11, 14, 'max'], [5, 8, 'min']]}",pH
"{'data': 'Functionality ( theoretical ) | 7 ~ 8', 'label': [[32, 33, 'min'], [36, 37, 'max'], [16, 27, 'measuring_condition']]}",Functionality
"{'data': 'Density 20 C | ± 1.05 | kg/l | 0006 <header> <Property> | <Value> | <Unit> | <GAP> </header>', 'label': []}",irrelevant
"{'data': 'Free monomer | Max. 500 | ppm | 0118 <header> <Property> | <Value> | <Unit> | <GAP> </header>', 'label': []}",irrelevant
"{'data': 'pH | 8.0 | TENSILE STRENGTH | 4,200 psi <header> <TYPICAL PHYSICAL PROPERTIES*> <SOLIDS> | <TYPICAL PHYSICAL PROPERTIES*> < 40 % > | <TYPICAL PHYSICAL PROPERTIES*> <APPEARANCE> | <TYPICAL PHYSICAL PROPERTIES*> <Opaque> </header>', 'label': [[5, 8, 'mean']]}",pH
"{'data': 'Density Lbs./Gal. | 8.65 <header> <Appearance> | <Translucent> </header>', 'label': []}",irrelevant
"{'data': 'MFFT ( ºC ) : | < 5', 'label': [[7, 9, 'unit'], [18, 19, 'max']]}",Minimum film forming temperature
"{'data': 'DIN ISO 976 ISO 1652, Brookfield RVT Spindle 1 /rpm 20 /factor 5', 'label': []}",multi
"{'data': 'PH | 7.0 - 9.0', 'label': [[5, 8, 'min'], [11, 14, 'max']]}",pH
"{'data': 'Solvent | EAC', 'label': [[10, 13, 'qualitative_value']]}",Solvent type
"{'data': 'Flash point | : Not flammable | : Not flammable <header> <> <PU Acrylic Dispersion> | < 980 - 0155 Date :> <PU Acrylic Dispersion> | < 980 - 0155 Date :> <PU Acrylic Dispersion> </header>', 'label': []}",irrelevant
"{'data': 'Solids content | 38.0 % + 1 %', 'label': [[17, 21, 'mean'], [22, 23, 'unit'], [26, 27, 'std'], [28, 29, 'unit']]}",Solid content
"{'data': 'Non - volatile content ( 1 g/ 1 h/ 125 °C ) | 51.5 - 54.5 | % | DIN EN ISO 3251 <header> <Specification Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': [[25, 41, 'measuring_condition'], [46, 50, 'min'], [53, 57, 'max'], [60, 61, 'unit'], [64, 79, 'method']]}",Solid content
"{'data': 'mPas | 15 - 200', 'label': []}",irrelevant
"{'data': 'Non - Volatile Matter DIN EN ISO 3251 non - volatile matter ( 1 h ; 125 °C ; 1 g ) | [ % ] 38,5 - 41,5', 'label': [[22, 37, 'method'], [62, 80, 'measuring_condition'], [87, 88, 'unit'], [91, 95, 'min'], [98, 102, 'max']]}",Solid content
"{'data': 'pH 10 % in demineralized water | 6.5 - 8.0 | | <header> <Characteristic data* Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': [[3, 30, 'measuring_condition'], [33, 36, 'min'], [39, 42, 'max']]}",pH
"{'data': 'pH - value | 6,9 - 8,0', 'label': [[13, 16, 'min'], [19, 22, 'max']]}",pH
"{'data': '* Z 2 / 100 / 23', 'label': []}",irrelevant
"{'data': 'PROPERTIES | PROPERTIES', 'label': []}",irrelevant
"{'data': ' [ °C ] > 100', 'label': []}",irrelevant
"{'data': '*These values are provisional. Binding supply specifications will not be available until the final product data sheet is published.', 'label': []}",irrelevant
"{'data': 'Viscosity DIN 53211 4 mm, 25 °C : | 55 - 75 sec', 'label': []}",irrelevant
"{'data': 'Other data* Property Value Unit of measurement Method | Other data* Property Value Unit of measurement Method | Other data* Property Value Unit of measurement Method | Other data* Property Value Unit of measurement Method <header> <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> </header>', 'label': []}",header
"{'data': 'Viscosity, Seconds | 30 - 35', 'label': []}",irrelevant
"{'data': 'pH | 8.8 ± 0.3', 'label': [[5, 8, 'mean'], [11, 14, 'std']]}",pH
"{'data': ' | <header> <> | <> </header>', 'label': []}",irrelevant
"{'data': 'pH ( 1 : 3 in demineralised water ) | 7.5 - 9.5 | | DIN ISO 976 <header> <Specification Property> | <Value> | <Unit of measurement> | <Method> </header>', 'label': [[5, 33, 'measuring_condition'], [38, 41, 'min'], [44, 47, 'max'], [52, 63, 'method']]}",pH
"{'data': 'Non - volatile content ( 1 g/ 1 h/ 125 °C/convection oven ) | 38.5 - 41.5 | % | DIN EN ISO 3251 <header> <> <Specification Property> | <> <Value> | <> <Unit of measurement> | <> <Method> </header>', 'label': [[25, 57, 'measuring_condition'], [62, 66, 'min'], [69, 73, 'max'], [76, 77, 'unit'], [80, 95, 'method']]}",Solid content
"{'data': 'Acid value | approx. 9.0 | mg KOH/g | DIN EN ISO 2114 <header> <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> </header>', 'label': []}",irrelevant
"{'data': 'Other data* Property | Value Unit of measurement | Value Unit of measurement | Value Unit of measurement | Method <header> <Other data* Property> | <Value Unit of measurement> | <Value Unit of measurement> | <Value Unit of measurement> | <Method> </header>', 'label': []}",header
"{'data': 'Property | Value | Unit | GAP <header> <Property> | <Value> | <Unit> | <GAP> </header>', 'label': []}",header
"{'data': 'VOC incl. water | 235 | g/L | <header> <Property> | <Value> | <Units> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Equiv. Wt ., Avg. ( As Supplied ) | Approximately 1145', 'label': []}",irrelevant
"{'data': 'Equivalent weight | approx. 830 | g/mol | <header> <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> | <Other data* Property Value Unit of measurement Method> </header>', 'label': []}",irrelevant
"{'data': 'Non - volatile, by vol.: | 30.0 %', 'label': [[16, 22, 'measuring_condition'], [27, 31, 'mean'], [32, 33, 'unit']]}",Solid content
"{'data': 'Recommended uses | : | High durability interior trim paints and floor coatings | High durability interior trim paints and floor coatings <header> <Acrylic Copolymer Emulsion> | <Acrylic Copolymer Emulsion> | < 980 - 408 > | <Date :> </header>', 'label': []}",irrelevant
"{'data': 'QW - 18 - 1 + 4 % Aziridine 0 | 1 | 0 | 4 | 1 <header> <Stain Tests ( 0 =None - 5 =Severe ) > <Ink> | <Stain Tests ( 0 =None - 5 =Severe ) > <Coffee> | <Stain Tests ( 0 =None - 5 =Severe ) > <Catsup> | <Stain Tests ( 0 =None - 5 =Severe ) > <Iodine> | <Stain Tests ( 0 =None - 5 =Severe ) > <Mustard> </header>', 'label': []}",irrelevant
"{'data': 'Hydroxyl value ( 100 % solid ) ： | 60', 'label': [[17, 28, 'measuring_condition'], [35, 37, 'mean']]}",Hydroxyl value
