text,label
"{'data': 'Clear | DAIPLACOAT RHC - 530 Clear | 12 ~ 17 µm <header> <color> | <product name> | <average particle size> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity ( Pa.s 25 °C ) | 30 - 40', 'label': [[12, 16, 'unit'], [17, 22, 'measuring_condition'], [27, 29, 'min'], [32, 34, 'max']]}",Viscosity
"{'data': 'Functionality ( theoretical ) | 4', 'label': [[16, 27, 'measuring_condition'], [32, 33, 'mean']]}",Functionality
"{'data': 'Free - NCO | 0.5 max.', 'label': []}",irrelevant
"{'data': 'Maximum Colour ( Pt/co ) | 250', 'label': []}",irrelevant
"{'data': 'Viscosity ( mPa·s/ 25 ℃ ) | 30000 - 40000', 'label': [[12, 17, 'unit'], [19, 23, 'measuring_condition'], [28, 33, 'min'], [36, 41, 'max']]}",Viscosity
"{'data': '3. Indicators:', 'label': []}",irrelevant
"{'data': 'Property | Value | Unit | TM <header> <Property> | <Value> | <Unit> | <TM> </header>', 'label': []}",header
"{'data': 'Colour, Apha | 200 max. <header> <Appearance> | <clear liquid> </header>', 'label': []}",irrelevant
"{'data': 'Viscosity at 25 °C ( mPa.s ) | 1000 - 2000', 'label': [[10, 18, 'measuring_condition'], [21, 26, 'unit'], [31, 35, 'min'], [38, 42, 'max']]}",Viscosity
"{'data': 'Specific gravity at 25 °C | 0.88', 'label': []}",irrelevant
"{'data': 'Telephone: ++ 32 ( 0 ) 2 334 51 11 | E - mail: tsd.radcure @ cytec.com | Web Site: www.surfacespecialties.com <header> <Cytec Surface Specialties S.A./N.V. Anderlechtstraat 33, B - 1620, Drogenbos, Belgium> <Telephone: ++ 32 ( 0 ) 2 334 51 11 > | <Cytec Surface Specialties S.A./N.V. Anderlechtstraat 33, B - 1620, Drogenbos, Belgium> <E - mail: tsd.radcure @ cytec.com> | <Cytec Surface Specialties S.A./N.V. Anderlechtstraat 33, B - 1620, Drogenbos, Belgium> <Web Site: www.surfacespecialties.com> </header>', 'label': []}",irrelevant
"{'data': 'shear rate D | 25 s– 1', 'label': []}",irrelevant
"{'data': 'Urethane acrylate dispersion. Bayhydrol® UV 2317 is used in the formulation of physically drying aqueous UV - curing coatings. Clear lacquers are characterized by their good reemulsification properties and high wet film transparency. approx. 37 % dispersion in water', 'label': [[261, 266, 'qualitative_value']]}",Solvent type
"{'data': 'Color ( Apha ) | Max. 100 | LICO - 150 Colorimeter <header> <> | <CHTU - 2516 > | <Test Method> </header>', 'label': []}",irrelevant
"{'data': 'Scratch resistance | Maximum colour ( Gardner ) | | | 2 <header> <Product performance> <Toughness> | <Sales specifications> <Appearance> | <> <clear> | <> <to hazy> | <> <liquid> </header>', 'label': []}",irrelevant
"{'data': 'density at 25 °C ( 77 °F ) | 1.1 g/cm³', 'label': []}",irrelevant
"{'data': 'pH | 7.0 - 8.5 <header> <SPECIFICATIONS> <Appearance> | <VALUE> <White> </header>', 'label': [[5, 8, 'min'], [11, 14, 'max']]}",pH
"{'data': 'R activ dilu nt | TMPTA', 'label': []}",irrelevant
"{'data': 'Flash point ( closed cup °C ) > 100', 'label': []}",irrelevant
"{'data': 'Color ( Fe - Co ) | ≤ 2', 'label': []}",irrelevant
"{'data': 'Suggested Application | Formulated UV/EB curable products containing DOUBLEMER 588 may be applied via lithographic, screen, gravure, direct or reverse roll and curtain coating methods. DOUBLEMER 588 is recommended for use in： ․Clear hard coatings on plastic ․Scratch resistant coatings on plastic ․Wood coating and fillers ․Improving cured speed, solvent resistance and gloss <header> <> | <Aliphatic Urethane Acrylate Oligomer> </header>', 'label': []}",irrelevant
"{'data': 'Banwol Industrial Complex 10 - 49 | PHONE | : + 82 - 31 - 494 - 9060', 'label': []}",irrelevant
"{'data': 'Mw ( GPC ) | 2,420', 'label': []}",irrelevant
"{'data': 'Good adhesion to difficult substrates | Appearance | Clear to hazy liquid <header> <Product performance> <Good adhesion to difficult substrates> | <Sales specifications> <Appearance> | <> <Clear to hazy liquid> </header>', 'label': []}",irrelevant
"{'data': 'Moisture ( % ) | Max.0.2', 'label': []}",irrelevant
"{'data': 'NCO Value | ≦ 0.1 | ％ | HG/T 2409 <header> <application> <Specifications measurement Characteristic Value unit> | <For the preparation of UV curing and electron beam coating> <Specifications measurement Characteristic Value unit> | <For the preparation of UV curing and electron beam coating> <Specifications measurement Characteristic Value unit> | <For the preparation of UV curing and electron beam coating> <Method> </header>', 'label': []}",irrelevant
"{'data': 'Colour ( Gardner scale ) | 2 max', 'label': []}",irrelevant
"{'data': 'Diluent* 3 ) | 50.77 | * 3 ) Diluent：EAC/ iBuOH/ TOL/ ECS/ DAA = 15 / 25 / 30 / 15 / 15', 'label': []}",irrelevant
"{'data': 'Non yellowing | | | | <header> <Product performance> <Toughness> | <Sales specifications> <Appearance> | <> <clear> | <> <to hazy> | <> <liquid> </header>', 'label': []}",irrelevant
"{'data': 'Description | W 2533 is a Aliphatic Urethane Acrylate that imparts very good water resistance,high chubbiness ,high glare,good flowingness,non - yellowing.', 'label': []}",irrelevant
"{'data': 'Appearance | Liquid', 'label': []}",irrelevant
"{'data': 'Density | Received RMFI approx. 1.13 | g/ml | DIN EN ISO 2811 <header> <Property> | < 23 Value> | <SH Unit of measurement> | <Method> </header>', 'label': []}",irrelevant
"{'data': 'Color, Gardner scale, max. | 2 <header> <SPECIFICATIONS> | <VALUE> </header>', 'label': []}",irrelevant
"{'data': 'Polymer solids, % by weight | 100', 'label': []}",irrelevant
"{'data': 'Viscosity ( Mpa.S/ 25 ℃ ) : | 50 - 400', 'label': [[12, 17, 'unit'], [19, 23, 'measuring_condition'], [30, 32, 'min'], [35, 38, 'max']]}",Viscosity
"{'data': 'Functionality | 6', 'label': [[16, 17, 'mean']]}",Functionality
"{'data': 'Density, g/ml at 25 C O | 1.17 <header> <SPECIFICATIONS ( 2 ) > <Appearance> | <VALUE> <Clear liquid> </header>', 'label': []}",irrelevant
"{'data': 'Toughness | Excellent <header> <Features> | <Advantages and Potential Benefits> </header>', 'label': []}",irrelevant
"{'data': 'shear rate D | 25 s– 1', 'label': []}",irrelevant
"{'data': ' | Maximum acid value ( mg KOH/g ) | 0.4 <header> <Product performance> | <Sales specifications> | <> </header>', 'label': [[24, 32, 'unit'], [37, 40, 'max']]}",Acid content
"{'data': 'PH: | 7 - 9', 'label': [[6, 7, 'min'], [10, 11, 'max']]}",pH
"{'data': 'viscosity at 23 °C ( 73 °F ) ( ISO 3219 A ) shear rate D | 2.0 – 5.0 Pa. s 100 s– 1 | 2.0 – 5.0 Pa. s 100 s– 1 | 2.0 – 5.0 Pa. s 100 s– 1', 'label': [[10, 28, 'measuring_condition'], [31, 41, 'method'], [44, 56, 'measuring_condition'], [59, 62, 'min'], [65, 68, 'max'], [69, 74, 'unit'], [75, 83, 'measuring_condition'], [86, 89, 'min'], [92, 95, 'max'], [96, 101, 'unit'], [102, 110, 'measuring_condition'], [113, 116, 'min'], [119, 122, 'max'], [123, 128, 'unit'], [129, 137, 'measuring_condition']]}",Viscosity
"{'data': 'Appearance | Clear liquid <header> <Appearance> | <Clear liquid> </header>', 'label': []}",irrelevant
"{'data': 'Elongation at break, % | 7 <header> <SPECIFICATIONS ( 1 ) > | <VALUE> </header>', 'label': []}",irrelevant
"{'data': 'typical properties ( no supply specification )', 'label': []}",irrelevant
"{'data': 'Good Hardness | <header> <DESCRIPTION> | <CN 9010 NS TYPICAL PHYSICAL AND CHEMICAL PROPERTIES> </header>', 'label': []}",irrelevant
"{'data': '* Appearance | Clear liquid', 'label': []}",irrelevant
"{'data': 'Functionality | 16 <header> <Appearance> | <Clear liquid> </header>', 'label': [[16, 18, 'mean']]}",Functionality
"{'data': 'TSCA | listed', 'label': []}",irrelevant
"{'data': 'Elongation ( % ) 1 ) | N/A <header> <Tensile strength ( psi ) 1 ) > | <N/A> </header>', 'label': []}",irrelevant
"{'data': 'PERENOL® F - 40 | 0.5 | 0.5 <header> <UV Curable Etch - Resists> | <A> | <B> </header>', 'label': []}",irrelevant
"{'data': 'Refractive Index | 1.4801', 'label': []}",irrelevant
"{'data': 'Solvent | Acid Color Clear', 'label': []}",irrelevant
"{'data': 'Laromer® PE 46 T | 12 months | 12 months', 'label': []}",irrelevant
"{'data': 'Storage | The resin should be stored in closed packaging out of light at 0 to 35 ℃. Under these conditions, the resin will remain stable for at least 6 months. This product may form a pseudo plastic layer at a low temperature for a long time. The changes of rheological properties by mixing and mild', 'label': []}",irrelevant
